,Player,2023/24,2023/24(*)
399.,Kevin Knox,"$2,144,320","$2,144,320"
400.,Andrew Nembhard,"$2,131,905","$2,131,905"
401.,Goga Bitadze,"$2,066,585","$2,066,585"
401.,Luka Samanic,"$2,066,585","$2,066,585"
403.,Matt Ryan,"$2,059,782","$2,059,782"
404.,Trendon Watford,"$2,019,706","$2,019,706"
404.,Terry Taylor,"$2,019,706","$2,019,706"
404.,Montrezl Harrell,"$2,019,706","$2,019,706"
404.,Dalano Banton,"$2,019,706","$2,019,706"
404.,Colby Jones,"$2,019,706","$2,019,706"
404.,Sandro Mamukelashvili,"$2,019,706","$2,019,706"
410.,Garrison Mathews,"$2,000,000","$2,000,000"
410.,Jaylin Williams,"$2,000,000","$2,000,000"
410.,Caleb Houstan,"$2,000,000","$2,000,000"
413.,Sam Merrill,"$1,997,238","$1,997,238"
413.,Isaiah Joe,"$1,997,238","$1,997,238"
413.,Anthony Gill,"$1,997,238","$1,997,238"
416.,GG Jackson,"$1,991,428","$1,991,428"
417.,Duop Reath,"$1,951,220","$1,951,220"
418.,Xavier Tillman,"$1,930,681","$1,930,681"
418.,Naji Marshall,"$1,930,681","$1,930,681"
418.,KJ Martin,"$1,930,681","$1,930,681"
421.,Sam Hauser,"$1,927,896","$1,927,896"
421.,Jericho Sims,"$1,927,896","$1,927,896"
421.,Kessler Edwards,"$1,927,896","$1,927,896"
424.,Haywood Highsmith,"$1,902,137","$1,902,137"
425.,AJ Green,"$1,901,769","$1,901,769"
426.,Ryan Rollins,"$1,893,589","$1,893,589"
427.,JT Thor,"$1,836,096","$1,836,096"
427.,BJ Boston,"$1,836,096","$1,836,096"
427.,Isaiah Todd,"$1,836,096","$1,836,096"
427.,Jose Alvarado,"$1,836,096","$1,836,096"
427.,Miles McBride,"$1,836,096","$1,836,096"
427.,Aaron Wiggins,"$1,836,096","$1,836,096"
427.,Isaiah Livers,"$1,836,096","$1,836,096"
434.,Jared Butler,"$1,809,782","$1,809,782"
435.,Orlando Robinson,"$1,801,769","$1,801,769"
435.,Dru Smith,"$1,801,769","$1,801,769"
435.,EJ Liddell,"$1,801,769","$1,801,769"
438.,Leonard Miller,"$1,800,000","$1,800,000"
439.,Bryce McGowens,"$1,719,864","$1,719,864"
439.,Jaden Hardy,"$1,719,864","$1,719,864"
439.,Max Christie,"$1,719,864","$1,719,864"
439.,Kennedy Chandler,"$1,719,864","$1,719,864"
439.,Josh Minott,"$1,719,864","$1,719,864"
439.,Jabari Walker,"$1,719,864","$1,719,864"
439.,Christian Koloko,"$1,719,864","$1,719,864"
439.,Xavier Cooks,"$1,719,864","$1,719,864"
447.,Jalen Pickett,"$1,708,143","$1,708,143"
448.,Julian Phillips,"$1,600,000","$1,600,000"
449.,Craig Porter,"$1,500,000","$1,500,000"
450.,Eugene Omoruyi,"$1,459,782","$1,459,782"
451.,Ricky Council,"$1,414,135","$1,414,135"
452.,DaQuan Jeffries,"$1,341,538","$1,341,538"
